經號 , 冊數 , 卷數 , 經名 , 作譯者
JB458 , 39 , 1 , 正覺潤光澤禪師澡雪集 , 清 澤著　照水重編　陳聞道序　有自狀（依駒本印）
JB459 , 39 , 2 , 香巖洗心水禪師語錄 , 清 照水說　實雲．海清等編
JB460 , 39 , 6 , 灤州萬善暉州昊禪師語錄 , 清 昊說　性珍．寂寶等錄（依駒本印）
JB461 , 39 , 6 , 性空臻禪師語錄 , 清 行臻說　超自等編（依駒本印）
JB462 , 39 , 2 , 何一自禪師語錄 , 清 超自說　明修．明惠．明智等編（依駒本印）
JB463 , 39 , 2 , 溈山古梅冽禪師語錄 , 清 定冽說　真謙記錄（依駒本印）
JB464 , 39 , 2 , 華嚴起宗真禪師語錄 , 清 真說　力廣等錄（依駒本印）
JB465 , 39 , 4 , 子雍如禪師語錄 , 清 成如尼說　祖圓記錄（依駒本印）
JB466 , 39 , 5 , 山西柏山楷禪師語錄 , 清 德楷說　行悟等編次（依駒本印）
JB468 , 39 , 3 , 善一純禪師語錄 , 清 如純說　學正錄　附續錄（依駒本印）
JB469 , 39 , 2 , 善權位禪師語錄 , 清 達位說　大悅等編（依駒本印）
JB470 , 39 , 1 , 天一悅禪師語錄 , 清 大悅說　學愚錄　有塔銘（依駒本印）
JB471 , 39 , 20 , 空谷道澄禪師語錄 , 清 道澄說　德儒編（依駒本增入並印）
JB472 , 40 , 5 , 大博乾禪師語錄 , 清 乾說　超宗等錄（依駒本增入並印）
JB473 , 40 , 1 , 盤山朗空順禪師語錄 , 清 順說　實性記錄　附了宗見禪師法嗣　瑞亭晟法嗣（依駒本增入並印）
JB474 , 40 , 4 , 盤山了宗禪師語錄 , 清 超見說　徹凡．心月等錄（依駒本增入並印）
JB475 , 40 , 2 , 逕庭宗禪師語錄 , 清 德宗說　行謙等編（依駒本增入並印）
JB476 , 40 , 1 , 別牧純禪師語錄 , 清 純說　福月等編　慧輅序　有行實（依駒本增入並印）
JB477 , 40 , 2 , 天翼翔禪師語錄 , 清 巨翔說　寂乾錄　際鋒等編（駒本附於前目四七六之後　今分出增入並印）
JB478 , 40 , 8 , 雲山燕居申禪師語錄 , 清 德申說　合哲等編（依駒本增入並印）
JB479 , 40 , 6 , 昭覺竹峰續禪師語錄 , 清 真續說　實悟等編（依駒本增入並印）
JB480 , 40 , 5 , 一貫別傳 , 清 廣真著（依駒本增入並印）
JB481 , 40 , 1 , 古音王傳 , 清 廣真著並序　古心評并引　凡則　黃毓英評　元善評　前有船子曲　燈輝集　慧澤序（依駒本增入並印）
JB483 , 40 , 6 , 竺峰敏禪師語錄 , 清 幻敏說　性鉅．性湛．性珩．性濟等編　附後錄（依駒本增入並印）
JB484 , 40 , 1 , 野雲映禪師宗統頌 , 清 燈映頌　性燦錄　有塔銘　行狀（依駒本增入並印　原書第二十三頁起至末頁缺）
JB485 , 40 , 2 , 普門顯禪師語錄 , 清 燈顯說　性胤錄（依駒本增入並印）
JB486 , 40 , 1 , 鑑堂一禪師語錄 , 清 一說　明滿．明慧等錄　杜允貞序（依駒本增入並印）
JB487 , 40 , 3 , 翠崖必禪師語錄 , 清 必說　道通錄（依駒本增入並印）
JB488 , 40 , 3 , 斗南暐禪師語錄 , 清 暐說　普潤等錄（依駒本增入並印）
JB490 , 40 , 6 , 博山粟如瀚禪師語錄 , 清 弘瀚說　傅鵬編（依駒本增入並印）
JB491 , 40 , 1 , 天寧法舟濟禪師剩語 , 明 道濟撰　如淵等編
JB492 , 40 , 1 , 萬峰和尚語錄 , 明 時蔚說　普壽集
JB493 , 40 , 6 , 磬山牧亭樸夫拙禪師語錄 , 清 拙說　光模等編
JB494 , 40 , 20 , 雨山和尚語錄 , 清 上思說
JB495 , 40 , 1 , 天然居士懷淨土詩 , 清 朱道則撰　明康錄
JB497 , 40 , 2 , 鶴山禪師執帚集 , 清 鶴山撰　德敷錄
K0016 , 05 , 1 , 能斷金剛般若波羅蜜多經 , 唐 玄奘譯
K1064 , 32 , 2 , 新譯大方廣佛華嚴經音義 , 唐 慧菀述
K1257 , 34-35 , 30 , 新集藏經音義隨函錄 , 後晉 可洪撰
K1258 , 35 , 25 , 御製蓮華心輪迴文偈頌 , 宋 太宗趙炅撰
K1259 , 35 , 30 , 御製秘藏詮 , 宋 太宗趙炅撰
K1260 , 35 , 11 , 御製逍遙詠 , 宋 太宗趙炅撰
K1261 , 35 , 5 , 御製緣識 , 宋 太宗趙炅撰
K1402 , 38 , 30 , 高麗國新雕大藏校正別錄 , 高麗 守其等校勘
K1482 , 41 , 9 , 大乘中觀釋論(第10卷-第18卷) , 安慧菩薩造  宋 惟淨等譯
L1490 , 115-116 , 40 , 妙法蓮華經玄義釋籤 , 隋 智顗說、灌頂記　唐 湛然釋
L1557 , 130-133 , 83 , 大方廣佛華嚴經疏鈔會本 , 唐 實叉難陀譯　唐 澄觀述
L1571 , 135 , 1 , 觀自在菩薩如意輪咒課法 , 宋 仁岳撰
L1600 , 141 , 4 , 大乘起信論疏 , 唐 法藏述
L1608 , 143 , 10 , 大藏聖教法寶標目 , 宋 王古撰
L1629 , 149 , 1 , 大乘百法明門論註 , 唐 玄奘譯　增修慈恩法師解
L1635 , 153 , 1 , 性相通說（選錄序文） , 明 德清述
L1636 , 153 , 4 , 莊子內篇註 , 明 德清註
L1637 , 153 , 10 , 幻有傳禪師語錄 , 明 正傳說 圓悟．圓修等編
L1638 , 153-154 , 10 , 雪嶠信禪師語錄 , 明 圓信說 弘歇等編
L1639 , 154 , 20 , 天隱修禪師語錄 , 明 圓修說 通琇編
L1640 , 154 , 10 , 密雲悟禪師語錄 , 明 圓悟說 道忞上進
L1641 , 154 , 7 , 大覺普濟能仁琇國師語錄 , 清 通琇說 行岳編
L1642 , 155 , 3 , 明道正覺森禪師語錄 , 清 行森說 超德等編
L1643 , 155 , 20 , 弘覺忞禪師語錄 , 清 道忞撰述 顯權等編
L1649 , 157 , 4 , 山茨際禪師語錄 , 清 通際撰述 達尊．達謙等編次
L1651 , 157 , 1 , 五百羅漢尊號 , 明 高道素手錄
L1652 , 158 , 20 , 明覺聰禪師語錄 , 清 性聰撰述 寂空．方醒等編次
L1666 , 162 , 1 , 重訂教乘法數（選錄序文） , 清 超海等重訂
L1668 , 164 , 20 , 御錄宗鏡大綱 , 清 胤禛錄
L1669 , 164 , 20 , 御錄經海一滴 , 清 胤禛錄
LC0001 , 01 , 17 , 印度佛學源流略講 , 民國 呂澂著
LC0002 , 02 , 26 , 中國佛學源流略講 , 民國 呂澂著
LC0003 , 03 , 14 , 西藏佛學原論及佛學論著選集 , 民國 呂澂著
LC0004 , 04 , 14 , 因明入正理論講解及相關論著 , 民國 呂澂著
LC0005 , 05 , 18 , 佛教重要名相釋義及經論攷證 , 民國 呂澂著
LC0006 , 06 , 17 , 歷朝藏經略考及新編漢文大藏經目錄 , 民國 呂澂著
LC0007 , 07-08 , 21 , 經論講要 , 民國 呂澂著
M1540 , 059 , 5 , 大慧普覺禪師普說 , 宋 蘊聞錄
N0001 , 01-02 , 15 , 經分別 , 通妙譯
N0002 , 03-04 , 22 , 犍度 , 通妙譯
N0003 , 05 , 19 , 附隨 , 通妙譯
N0004 , 06-08 , 34 , 長部經典 , 通妙譯
N0005 , 09-12 , 16 , 中部經典 , 通妙譯
N0006 , 13-18 , 56 , 相應部經典 , 雲庵譯
N0007 , 19-25 , 12 , 增支部經典 , 郭哲彰譯
N0008 , 26 , 1 , 小誦經 , 悟醒譯
N0009 , 26 , 1 , 法句經 , 悟醒譯
N0010 , 26 , 1 , 自說經 , 悟醒譯
N0011 , 26 , 1 , 如是語經 , 悟醒譯
N0012 , 27 , 1 , 經集 , 雲庵譯
N0013 , 27 , 1 , 天宮事經 , 雲庵譯
N0014 , 28 , 1 , 餓鬼事經 , 雲庵譯
N0015 , 28 , 1 , 長老偈經 , 雲庵譯
N0016 , 28 , 1 , 長老尼偈經 , 雲庵譯
N0017 , 29-30 , 59 , 譬喻經 , 悟醒譯
N0018 , 31-42 , 2 , 本生經 , 悟醒譯
N0019 , 43-44 , 4 , 無礙解道 , 悟醒譯
N0020 , 44 , 1 , 佛種姓經 , 悟醒譯
N0021 , 44 , 1 , 所行藏經 , 悟醒譯
N0022 , 45-46 , 16 , 大義釋 , 悟醒譯
N0023 , 47 , 19 , 小義釋 , 悟醒譯
N0024 , 48 , 5 , 法集論 , 郭哲彰譯
N0025 , 49-50 , 18 , 分別論 , 郭哲彰譯
N0026 , 50 , 2 , 界論 , 郭哲彰譯
N0027 , 50 , 1 , 人施設論 , 郭哲彰譯
N0028 , 51-53 , 10 , 雙論 , 郭哲彰譯
N0029 , 54-60 , 12 , 發趣論 , 郭哲彰譯
N0030 , 61-62 , 23 , 論事 , 郭哲彰譯
N0031 , 63-64 , 25 , 彌蘭王問經 , 郭哲彰譯
N0032 , 65 , 22 , 島王統史 , 悟醒譯
N0033 , 65 , 37 , 大王統史 , 悟醒譯
N0034 , 66 , 65 , 小王統史 , 悟醒譯
N0035 , 67-69 , 23 , 清淨道論 , 佛音撰　悟醒譯
N0036 , 70 , 1 , 一切善見律註序 , 佛音譯述　悟醒譯
N0037 , 70 , 1 , 攝阿毘達磨義論 , 阿那律陀著　悟醒譯
N0038 , 70 , 1 , 阿育王刻文 , 悟醒譯
P1519 , 154-155 , 20 , 宗門統要正續集 , 宋 宗永集　元 清茂續集
P1573 , 167 , 1 , 修懺要旨 , 宋 知禮述
P1581 , 168 , 30 , 首楞嚴經義海 , 唐 懷迪證譯　宋 咸輝排經入注
P1590 , 174 , 1 , 佛遺教經論疏節要 , 宋 淨源述
P1610 , 178 , 1 , 大明太宗文皇帝御製序讚文 , 明 太宗朱棣撰
P1611 , 178-179 , 40 , 諸佛世尊如來菩薩尊者神僧名經 , 明 太宗朱棣制
P1612 , 179-181 , 51 , 諸佛世尊如來菩薩尊者名稱歌曲 , 明 太宗朱棣制
P1615 , 181-183 , 38 , 大明三藏法數 , 明 一如等編集
P1617 , 184-185 , 19 , 妙法蓮華經要解（選錄「要解」本文） , 宋 戒環解
P1618 , 185 , 20 , 大佛頂萬行首楞嚴經會解 , 唐宋 九師釋　元 惟則會解
P1624 , 187 , 1 , 金剛經疏論纂要（選錄「釋金剛經纂要疏科」） , 宋 子璿錄
P1629 , 189 , 9 , 天台四教儀集註（選錄「集註」本文） , 元 蒙潤集
P1630 , 189 , 1 , 教乘法數（選錄序文） , 明 圓瀞集
S0046 , 06 , 2 , 上生經會古通今新抄 , 唐 詮明集
S0047 , 06 , 1 , 上生經疏隨新抄科文 , 
T0001 , 01 , 22 , 長阿含經 , 後秦 佛陀耶舍共竺佛念譯
T0002 , 01 , 1 , 七佛經 , 宋 法天譯
T0003 , 01 , 2 , 毘婆尸佛經 , 宋 法天譯
T0004 , 01 , 1 , 七佛父母姓字經 , 失譯
T0005 , 01 , 2 , 佛般泥洹經 , 西晉 白法祖譯
T0006 , 01 , 2 , 般泥洹經 , 失譯
T0007 , 01 , 3 , 大般涅槃經 , 東晉 法顯譯
T0008 , 01 , 2 , 大堅固婆羅門緣起經 , 宋 施護等譯
T0009 , 01 , 1 , 人仙經 , 宋 法賢譯
T0010 , 01 , 3 , 白衣金幢二婆羅門緣起經 , 宋 施護等譯
T0011 , 01 , 2 , 尼拘陀梵志經 , 宋 施護等譯
T0012 , 01 , 2 , 大集法門經 , 宋 施護譯
T0013 , 01 , 2 , 長阿含十報法經 , 後漢 安世高譯
T0014 , 01 , 1 , 人本欲生經 , 後漢 安世高譯
T0015 , 01 , 1 , 帝釋所問經 , 宋 法賢譯
T0016 , 01 , 1 , 尸迦羅越六方禮經 , 後漢 安世高譯
T0017 , 01 , 1 , 善生子經 , 西晉 支法度譯
T0018 , 01 , 1 , 信佛功德經 , 宋 法賢譯
T0019 , 01 , 1 , 大三摩惹經 , 宋 法天譯
T0020 , 01 , 1 , 佛開解梵志阿颰經 , 吳 支謙譯
T0021 , 01 , 1 , 梵網六十二見經 , 吳 支謙譯
T0022 , 01 , 1 , 寂志果經 , 東晉 竺曇無蘭譯
T0023 , 01 , 6 , 大樓炭經 , 西晉 法立共法炬譯
T0024 , 01 , 10 , 起世經 , 隋 闍那崛多等譯
T0025 , 01 , 10 , 起世因本經 , 隋 達摩笈多譯
T0026 , 01 , 60 , 中阿含經 , 東晉 瞿曇僧伽提婆譯
T0027 , 01 , 1 , 七知經 , 吳 支謙譯
T0028 , 01 , 1 , 園生樹經 , 宋 施護譯
T0029 , 01 , 1 , 鹹水喻經 , 失譯
T0030 , 01 , 1 , 薩鉢多酥哩踰捺野經 , 宋 法賢譯
T0031 , 01 , 1 , 一切流攝守因經 , 後漢 安世高譯
T0032 , 01 , 1 , 四諦經 , 後漢 安世高譯
T0033 , 01 , 1 , 恒水經 , 西晉 法炬譯
T0034 , 01 , 1 , 法海經 , 西晉 法炬譯
T0035 , 01 , 1 , 海八德經 , 後秦 鳩摩羅什譯
T0036 , 01 , 1 , 本相猗致經 , 後漢 安世高譯
T0037 , 01 , 1 , 緣本致經 , 失譯
T0038 , 01 , 1 , 輪王七寶經 , 宋 施護譯
T0039 , 01 , 1 , 頂生王故事經 , 西晉 法炬譯
T0040 , 01 , 1 , 文陀竭王經 , 北涼 曇無讖譯
T0041 , 01 , 1 , 頻婆娑羅王經 , 宋 法賢譯
T0042 , 01 , 1 , 鐵城泥犁經 , 東晉 竺曇無蘭譯
T0043 , 01 , 1 , 閻羅王五天使者經 , 劉宋 慧簡譯
T0044 , 01 , 1 , 古來世時經 , 失譯
T0045 , 01 , 2 , 大正句王經 , 宋 法賢譯
T0046 , 01 , 1 , 阿那律八念經 , 後漢 支曜譯
T0047 , 01 , 1 , 離睡經 , 西晉 竺法護譯
T0048 , 01 , 1 , 是法非法經 , 後漢 安世高譯
T0049 , 01 , 1 , 求欲經 , 西晉 法炬譯
T0050 , 01 , 1 , 受歲經 , 西晉 竺法護譯
T0051 , 01 , 1 , 梵志計水淨經 , 失譯
T0052 , 01 , 1 , 大生義經 , 宋 施護譯
T0053 , 01 , 1 , 苦陰經 , 失譯
T0054 , 01 , 1 , 釋摩男本四子經 , 吳 支謙譯
T0055 , 01 , 1 , 苦陰因事經 , 西晉 法炬譯
T0056 , 01 , 1 , 樂想經 , 西晉 竺法護譯
T0057 , 01 , 1 , 漏分布經 , 後漢 安世高譯
T0058 , 01 , 1 , 阿耨風經 , 東晉 竺曇無蘭譯
T0059 , 01 , 1 , 諸法本經 , 吳 支謙譯
T0060 , 01 , 1 , 瞿曇彌記果經 , 劉宋 慧簡譯
T0061 , 01 , 1 , 受新歲經 , 西晉 竺法護譯
T0062 , 01 , 1 , 新歲經 , 東晉 竺曇無蘭譯
T0063 , 01 , 1 , 解夏經 , 宋 法賢譯
T0064 , 01 , 1 , 瞻婆比丘經 , 西晉 法炬譯
T0065 , 01 , 1 , 伏婬經 , 西晉 法炬譯
T0066 , 01 , 1 , 魔嬈亂經 , 失譯
T0067 , 01 , 1 , 弊魔試目連經 , 吳 支謙譯
T0068 , 01 , 1 , 賴吒和羅經 , 吳 支謙譯
T0069 , 01 , 1 , 護國經 , 宋 法賢譯
T0070 , 01 , 1 , 數經 , 西晉 法炬譯
T0071 , 01 , 1 , 梵志頞波羅延問種尊經 , 東晉 竺曇無蘭譯
T0072 , 01 , 1 , 三歸五戒慈心厭離功德經 , 失譯
T0073 , 01 , 1 , 須達經 , 蕭齊 求那毘地譯
T0074 , 01 , 1 , 長者施報經 , 宋 法天譯
T0075 , 01 , 1 , 佛為黃竹園老婆羅門說學經 , 失譯
T0076 , 01 , 1 , 梵摩渝經 , 吳 支謙譯
T0077 , 01 , 1 , 尊上經 , 西晉 竺法護譯
T0078 , 01 , 1 , 兜調經 , 失譯
T0079 , 01 , 1 , 鸚鵡經 , 劉宋 求那跋陀羅譯
T0080 , 01 , 1 , 佛為首迦長者說業報差別經 , 隋 瞿曇法智譯
T0081 , 01 , 2 , 分別善惡報應經 , 宋 天息災譯
T0082 , 01 , 1 , 意經 , 西晉 竺法護譯
T0083 , 01 , 1 , 應法經 , 西晉 竺法護譯
T0084 , 01 , 1 , 分別布施經 , 宋 施護譯
T0085 , 01 , 1 , 息諍因緣經 , 宋 施護譯
T0086 , 01 , 1 , 泥犁經 , 東晉 竺曇無蘭譯
T0087 , 01 , 1 , 齋經 , 吳 支謙譯
T0088 , 01 , 1 , 優陂夷墮舍迦經 , 失譯
T0089 , 01 , 1 , 八關齋經 , 劉宋 沮渠京聲譯
T0090 , 01 , 1 , 鞞摩肅經 , 劉宋 求那跋陀羅譯
T0091 , 01 , 1 , 婆羅門子命終愛念不離經 , 後漢 安世高譯
T0092 , 01 , 1 , 十支居士八城人經 , 後漢 安世高譯
T0093 , 01 , 1 , 邪見經 , 失譯
T0094 , 01 , 1 , 箭喻經 , 失譯
T0095 , 01 , 1 , 蟻喻經 , 宋 施護譯
T0096 , 01 , 1 , 治意經 , 失譯
T0097 , 01 , 1 , 廣義法門經 , 陳 真諦譯
T0098 , 01 , 1 , 普法義經 , 後漢 安世高譯
T0099 , 02 , 50 , 雜阿含經 , 劉宋 求那跋陀羅譯
T0100 , 02 , 16 , 別譯雜阿含經 , 失譯
T0101 , 02 , 1 , 雜阿含經 , 失譯
T0102 , 02 , 1 , 佛說五蘊皆空經 , 唐 義淨譯
T0103 , 02 , 1 , 佛說聖法印經 , 西晉 竺法護譯
T0104 , 02 , 1 , 佛說法印經 , 宋 施護譯
T0105 , 02 , 1 , 五陰譬喻經 , 後漢 安世高譯
T0106 , 02 , 1 , 佛說水沫所漂經 , 東晉 竺曇無蘭譯
T0107 , 02 , 1 , 佛說不自守意經 , 吳 支謙譯
T0108 , 02 , 1 , 佛說滿願子經 , 失譯
T0109 , 02 , 1 , 佛說轉法輪經 , 後漢 安世高譯
T0110 , 02 , 1 , 佛說三轉法輪經 , 唐 義淨譯
T0111 , 02 , 1 , 佛說相應相可經 , 西晉 法炬譯
T0112 , 02 , 1 , 佛說八正道經 , 後漢 安世高譯
T0113 , 02 , 1 , 佛說難提釋經 , 西晉 法炬譯
T0114 , 02 , 1 , 佛說馬有三相經 , 後漢 支曜譯
T0115 , 02 , 1 , 佛說馬有八態譬人經 , 後漢 支曜譯
T0116 , 02 , 1 , 佛說戒德香經 , 東晉 竺曇無蘭譯
T0117 , 02 , 1 , 佛說戒香經 , 宋 法賢譯
T0118 , 02 , 1 , 佛說鴦掘摩經 , 西晉 竺法護譯
T0119 , 02 , 1 , 佛說鴦崛髻經 , 西晉 法炬譯
T0120 , 02 , 4 , 央掘魔羅經 , 劉宋 求那跋陀羅譯
T0121 , 02 , 1 , 佛說月喻經 , 宋 施護譯
T0122 , 02 , 1 , 佛說波斯匿王太后崩塵土坌身經 , 西晉 法炬譯
T0123 , 02 , 1 , 佛說放牛經 , 後秦 鳩摩羅什譯
T0124 , 02 , 1 , 緣起經 , 唐 玄奘譯
T0125 , 02 , 51 , 增壹阿含經 , 東晉 瞿曇僧伽提婆譯
T0126 , 02 , 1 , 佛說阿羅漢具德經 , 宋 法賢譯
T0127 , 02 , 1 , 佛說四人出現世間經 , 劉宋 求那跋陀羅譯
T0128a , 02 , 1 , 須摩提女經 , 吳 支謙譯
T0128b , 02 , 1 , 須摩提女經 , 吳 支謙譯
T0129 , 02 , 1 , 佛說三摩竭經 , 吳 竺律炎譯
T0130 , 02 , 3 , 佛說給孤長者女得度因緣經 , 宋 施護譯
T0131 , 02 , 1 , 佛說婆羅門避死經 , 後漢 安世高譯
T0132a , 02 , 1 , 佛說食施獲五福報經 , 失譯
T0132b , 02 , 1 , 施食獲五福報經 , 失譯
T0133 , 02 , 1 , 頻毘娑羅王詣佛供養經 , 西晉 法炬譯
T0134 , 02 , 1 , 佛說長者子六過出家經 , 劉宋 慧簡譯
T0135 , 02 , 1 , 佛說力士移山經 , 西晉 竺法護譯
T0136 , 02 , 1 , 佛說四未曾有法經 , 西晉 竺法護譯
T0137 , 02 , 1 , 舍利弗摩訶目連遊四衢經 , 後漢 康孟詳譯
T0138 , 02 , 1 , 佛說十一想思念如來經 , 劉宋 求那跋陀羅譯
T0139 , 02 , 1 , 佛說四泥犁經 , 東晉 竺曇無蘭譯
T0140 , 02 , 1 , 阿那邠邸化七子經 , 後漢 安世高譯
T0141 , 02 , 1 , 佛說阿遬達經 , 劉宋 求那跋陀羅譯
T0142a , 02 , 1 , 佛說玉耶女經 , 失譯
T0142b , 02 , 1 , 玉耶女經 , 失譯
T0143 , 02 , 1 , 玉耶經 , 東晉 竺曇無蘭譯
T0144 , 02 , 1 , 佛說大愛道般泥洹經 , 西晉 白法祖譯
T0145 , 02 , 1 , 佛母般泥洹經 , 劉宋 慧簡譯
T0146 , 02 , 1 , 舍衛國王夢見十事經 , 失譯
T0147 , 02 , 1 , 佛說舍衛國王十夢經 , 失譯
T0148 , 02 , 1 , 國王不梨先泥十夢經 , 東晉 竺曇無蘭譯
T0149 , 02 , 1 , 佛說阿難同學經 , 後漢 安世高譯
T0150A , 02 , 1 , 七處三觀經 , 後漢 安世高譯
T0150B , 02 , 1 , 九橫經 , 後漢 安世高譯
T0151 , 02 , 1 , 佛說阿含正行經 , 後漢 安世高譯
T0152 , 03 , 8 , 六度集經 , 吳 康僧會譯
T0153 , 03 , 3 , 菩薩本緣經 , 吳 支謙譯
T0154 , 03 , 5 , 生經 , 西晉 竺法護譯
T0155 , 03 , 3 , 菩薩本行經 , 失譯
T0156 , 03 , 7 , 大方便佛報恩經 , 失譯
T0157 , 03 , 10 , 悲華經 , 北涼 曇無讖譯
T0158 , 03 , 8 , 大乘悲分陀利經 , 失譯
T0159 , 03 , 8 , 大乘本生心地觀經 , 唐 般若譯
T0160 , 03 , 16 , 菩薩本生鬘論 , 宋 紹德慧詢等譯
T0161 , 03 , 1 , 長壽王經 , 失譯
T0162 , 03 , 1 , 金色王經 , 東魏 瞿曇般若流支譯
T0163 , 03 , 1 , 妙色王因緣經 , 唐 義淨譯
T0164 , 03 , 1 , 師子素馱娑王斷肉經 , 唐 智嚴譯
T0165 , 03 , 6 , 頂生王因緣經 , 宋 施護等譯
T0166 , 03 , 1 , 月光菩薩經 , 宋 法賢譯
T0167 , 03 , 1 , 太子慕魄經 , 後漢 安世高譯
T0168 , 03 , 1 , 太子墓魄經 , 西晉 竺法護譯
T0169 , 03 , 1 , 月明菩薩經 , 吳 支謙譯
T0170 , 03 , 1 , 德光太子經 , 西晉 竺法護譯
T0171 , 03 , 1 , 太子須大拏經 , 西秦 聖堅譯
T0172 , 03 , 1 , 菩薩投身飴餓虎起塔因緣經 , 北涼 法盛譯
T0173 , 03 , 4 , 福力太子因緣經 , 宋 施護等譯
T0174 , 03 , 1 , 菩薩睒子經 , 失譯
T0175a , 03 , 1 , 睒子經 , 西秦 聖堅譯
T0175b , 03 , 1 , 佛說睒子經 , 乞伏秦 聖堅譯
T0175c , 03 , 1 , 佛說睒子經 , 姚秦 聖堅譯
T0176 , 03 , 1 , 師子月佛本生經 , 失譯
T0177 , 03 , 1 , 大意經 , 劉宋 求那跋陀羅譯
T0178 , 03 , 1 , 前世三轉經 , 西晉 法炬譯
T0179 , 03 , 1 , 銀色女經 , 元魏 佛陀扇多譯
T0180 , 03 , 1 , 過去世佛分衛經 , 西晉 竺法護譯
T0181a , 03 , 1 , 九色鹿經 , 吳 支謙譯
T0181b , 03 , 1 , 佛說九色鹿經 , 吳 支謙譯
T0182a , 03 , 1 , 鹿母經 , 西晉 竺法護譯
T0182b , 03 , 1 , 佛說鹿母經 , 西晉 竺法護譯
T0183 , 03 , 1 , 一切智光明仙人慈心因緣不食肉經 , 失譯
T0184 , 03 , 2 , 修行本起經 , 後漢 竺大力共康孟詳譯
T0185 , 03 , 2 , 太子瑞應本起經 , 吳 支謙譯
T0186 , 03 , 8 , 普曜經 , 西晉 竺法護譯
T0187 , 03 , 12 , 方廣大莊嚴經 , 唐 地婆訶羅譯
T0188 , 03 , 1 , 異出菩薩本起經 , 西晉 聶道真譯
T0189 , 03 , 4 , 過去現在因果經 , 劉宋 求那跋陀羅譯
T0190 , 03 , 60 , 佛本行集經 , 隋 闍那崛多譯
T0191 , 03 , 13 , 眾許摩訶帝經 , 宋 法賢譯
T0192 , 04 , 5 , 佛所行讚 , 馬鳴菩薩造  北涼 曇無讖譯
T0193 , 04 , 7 , 佛本行經 , 宋 釋寶雲譯
T0194 , 04 , 3 , 僧伽羅剎所集經 , 符秦 僧伽跋澄等譯
T0195 , 04 , 1 , 佛說十二遊經 , 東晉 迦留陀伽譯
T0196 , 04 , 2 , 中本起經 , 後漢 曇果共康孟詳譯
T0197 , 04 , 2 , 佛說興起行經 , 後漢 康孟詳譯
T0198 , 04 , 2 , 佛說義足經 , 吳 支謙譯
T0199 , 04 , 1 , 佛五百弟子自說本起經 , 西晉 竺法護譯
T0200 , 04 , 10 , 撰集百緣經 , 吳 支謙譯
T0201 , 04 , 15 , 大莊嚴論經 , 馬鳴菩薩造  後秦 鳩摩羅什譯
T0202 , 04 , 13 , 賢愚經 , 元魏 慧覺等譯
T0203 , 04 , 10 , 雜寶藏經 , 元魏 吉迦夜共曇曜譯
T0204 , 04 , 1 , 雜譬喻經 , 後漢 支婁迦讖譯
T0205 , 04 , 2 , 雜譬喻經 , 失譯
T0206 , 04 , 2 , 舊雜譬喻經 , 吳 康僧會譯
T0207 , 04 , 1 , 雜譬喻經 , 道略集
T0208 , 04 , 2 , 眾經撰雜譬喻 , 道略集  姚秦 鳩摩羅什譯
T0209 , 04 , 4 , 百喻經 , 僧伽斯那撰  蕭齊 求那毘地譯
T0210 , 04 , 2 , 法句經 , 法救撰  吳 維祇難等譯
T0211 , 04 , 4 , 法句譬喻經 , 晉世 法炬共法立譯
T0212 , 04 , 30 , 出曜經 , 姚秦 竺佛念譯
T0213 , 04 , 4 , 法集要頌經 , 法救集  宋 天息災譯
T0214 , 04 , 1 , 猘狗經 , 吳 支謙譯
T0215 , 04 , 1 , 群牛譬經 , 西晉 法炬譯
T0216 , 04 , 1 , 大魚事經 , 東晉 竺曇無蘭譯
T0217 , 04 , 1 , 譬喻經 , 唐 義淨譯
T0218 , 04 , 1 , 灌頂王喻經 , 宋 施護等譯
T0219 , 04 , 1 , 醫喻經 , 宋 施護譯
T0220 , 05-07 , 600 , 大般若波羅蜜多經 , 唐 玄奘譯
T0221 , 08 , 20 , 放光般若經 , 西晉 無羅叉譯
T0222 , 08 , 10 , 光讚經 , 西晉 竺法護譯
T0223 , 08 , 27 , 摩訶般若波羅蜜經 , 後秦 鳩摩羅什譯
T0224 , 08 , 10 , 道行般若經 , 後漢 支婁迦讖譯
T0225 , 08 , 6 , 大明度經 , 吳 支謙譯
T0226 , 08 , 5 , 摩訶般若鈔經 , 前秦 曇摩蜱共竺佛念譯
T0227 , 08 , 10 , 小品般若波羅蜜經 , 後秦 鳩摩羅什譯
T0228 , 08 , 25 , 佛說佛母出生三法藏般若波羅蜜多經 , 宋 施護譯
T0229 , 08 , 3 , 佛說佛母寶德藏般若波羅蜜經 , 宋 法賢譯
T0230 , 08 , 1 , 聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經 , 宋 施護等譯
T0231 , 08 , 7 , 勝天王般若波羅蜜經 , 陳 月婆首那譯
T0232 , 08 , 2 , 文殊師利所說摩訶般若波羅蜜經 , 梁 曼陀羅仙譯
T0233 , 08 , 1 , 文殊師利所說般若波羅蜜經 , 梁 僧伽婆羅譯
T0234 , 08 , 2 , 佛說濡首菩薩無上清淨分衛經 , 宋 翔公譯
T0235 , 08 , 1 , 金剛般若波羅蜜經 , 後秦 鳩摩羅什譯
T0236a , 08 , 1 , 金剛般若波羅蜜經 , 元魏 菩提流支譯
T0236b , 08 , 1 , 金剛般若波羅蜜經 , 元魏 菩提流支譯
